Project,FromLevel,ToLevel,InputMockCount,OutputMockCount,CCTRReduction,CCTRReductionPerTest,AffectedTestsCCTR,ReductionRatio,ReductionRatio_num,ecdf_x,ecdf_y
Beam,2,0,1,1,6,6.0,16,38%,0.38,0.5895316804407713,0.38
Beam,1,0,1,2,24,12.0,12,200%,2.0,0.9338842975206612,2.0
Beam,2,0,1,1,12,12.0,21,57%,0.57,0.6859504132231405,0.57
Beam,2,0,1,1,4,4.0,21,19%,0.19,0.3939393939393939,0.19
Beam,2,0,1,1,7,7.0,21,33%,0.33,0.5454545454545454,0.33
Beam,2,0,1,7,75,10.71428571,53,142%,1.42,0.8925619834710744,1.42
Beam,2,0,1,6,58,9.666666667,44,132%,1.32,0.8732782369146006,1.32
Beam,1,0,1,2,2,1.0,19,11%,0.11,0.22589531680440772,0.11
Beam,2,0,1,1,8,8.0,29,28%,0.28,0.48760330578512395,0.28
Beam,2,0,1,4,22,5.5,50,44%,0.44,0.6143250688705234,0.44
Beam,2,0,1,2,12,6.0,37,32%,0.32,0.5316804407713499,0.32
Beam,2,0,1,8,36,4.5,144,25%,0.25,0.46005509641873277,0.25
Beam,2,0,1,1,6,6.0,27,22%,0.22,0.44077134986225897,0.22
Beam,2,0,1,11,72,6.545454545,110,65%,0.65,0.7245179063360881,0.65
Beam,1,0,1,2,1,0.5,1,100%,1.0,0.8154269972451791,1.0
Beam,1,0,1,15,85,5.666666667,102,83%,0.83,0.7768595041322314,0.83
Beam,2,0,1,17,268,15.76470588,197,136%,1.36,0.8787878787878788,1.36
Beam,2,0,1,11,178,16.18181818,98,182%,1.82,0.9256198347107438,1.82
Beam,1,0,1,4,4,1.0,13,31%,0.31,0.5206611570247934,0.31
Beam,2,0,1,2,2,1.0,9,22%,0.22,0.44352617079889806,0.22
Beam,1,0,1,1,1,1.0,4,25%,0.25,0.4628099173553719,0.25
Beam,2,0,1,7,76,10.85714286,66,115%,1.15,0.8402203856749312,1.15
Beam,2,0,1,3,4,1.333333333,42,10%,0.1,0.21212121212121213,0.1
Beam,2,0,1,5,18,3.6,50,36%,0.36,0.5674931129476584,0.36
Beam,2,0,1,1,3,3.0,14,21%,0.21,0.418732782369146,0.21
Beam,2,0,1,2,12,6.0,8,150%,1.5,0.9035812672176309,1.5
Beam,2,0,1,4,8,2.0,29,28%,0.28,0.4903581267217631,0.28
Beam,2,0,1,2,4,2.0,19,21%,0.21,0.4214876033057851,0.21
Beam,1,0,1,1,6,6.0,31,19%,0.19,0.39669421487603307,0.19
Beam,1,0,1,1,1,1.0,8,13%,0.13,0.2892561983471074,0.13
Beam,2,0,1,11,97,8.818181818,83,117%,1.17,0.8429752066115702,1.17
Beam,2,0,1,1,1,1.0,5,20%,0.2,0.39944903581267216,0.2
Beam,2,0,1,1,3,3.0,5,60%,0.6,0.7079889807162535,0.6
Beam,2,0,1,4,28,7.0,16,175%,1.75,0.9228650137741047,1.75
Beam,2,0,1,5,67,13.4,28,239%,2.39,0.9393939393939394,2.39
Beam,2,0,1,4,24,6.0,30,80%,0.8,0.7713498622589532,0.8
Beam,2,0,1,5,9,1.8,56,16%,0.16,0.3581267217630854,0.16
Beam,1,0,1,1,4,4.0,13,31%,0.31,0.5234159779614325,0.31
Beam,1,0,1,4,4,1.0,28,14%,0.14,0.325068870523416,0.14
Beam,2,0,1,5,40,8.0,31,129%,1.29,0.8650137741046832,1.29
Beam,2,0,1,2,9,4.5,26,35%,0.35,0.5647382920110193,0.35
Beam,2,0,1,2,6,3.0,30,20%,0.2,0.4022038567493113,0.2
