Project,FromLevel,ToLevel,InputMockCount,OutputMockCount,CCTRReduction,CCTRReductionPerTest,AffectedTestsCCTR,ReductionRatio,ReductionRatio_num,ecdf_x,ecdf_y
Aries,0,2,11,1,-33,-3.0,113,-29%,-0.29,0.17777777777777778,-0.29
Aries,0,2,7,1,-21,-3.0,50,-42%,-0.42,0.08888888888888889,-0.42
Aries,0,2,4,1,-4,-1.0,49,-8%,-0.08,0.6666666666666666,-0.08
Aries,0,2,2,1,-6,-3.0,26,-23%,-0.23,0.28888888888888886,-0.23
Aries,0,2,6,1,-6,-1.0,52,-12%,-0.12,0.6222222222222222,-0.12
Aries,0,1,2,1,-10,-5.0,16,-63%,-0.63,0.044444444444444446,-0.63
Aries,0,1,2,1,-2,-1.0,9,-22%,-0.22,0.3333333333333333,-0.22
Aries,0,1,2,1,-2,-1.0,45,-4%,-0.04,0.8888888888888888,-0.04
Aries,0,1,2,1,-2,-1.0,50,-4%,-0.04,0.9111111111111111,-0.04
Aries,0,1,3,1,-3,-1.0,48,-6%,-0.06,0.7777777777777778,-0.06
Aries,0,1,5,1,-5,-1.0,36,-14%,-0.14,0.5777777777777777,-0.14
Aries,0,1,2,1,-2,-1.0,52,-4%,-0.04,0.9333333333333333,-0.04
Aries,0,2,2,1,-6,-3.0,27,-22%,-0.22,0.35555555555555557,-0.22
Aries,0,1,3,1,-15,-5.0,61,-25%,-0.25,0.2222222222222222,-0.25
Aries,0,1,2,1,-2,-1.0,50,-4%,-0.04,0.9555555555555556,-0.04
Aries,0,1,2,1,-10,-5.0,45,-22%,-0.22,0.37777777777777777,-0.22
Aries,0,2,4,1,-16,-4.0,189,-8%,-0.08,0.6888888888888889,-0.08
Aries,0,2,4,1,-10,-2.5,63,-16%,-0.16,0.5111111111111111,-0.16
Aries,0,1,8,1,-19,-2.375,67,-28%,-0.28,0.2,-0.28
Aries,0,1,3,1,-3,-1.0,50,-6%,-0.06,0.8,-0.06
Aries,0,1,3,1,-3,-1.0,52,-6%,-0.06,0.8222222222222222,-0.06
Aries,0,1,3,1,-3,-1.0,20,-15%,-0.15,0.5333333333333333,-0.15
Aries,0,2,5,1,-5,-1.0,71,-7%,-0.07,0.7333333333333333,-0.07
Aries,0,2,39,1,-43,-1.102564103,698,-6%,-0.06,0.8444444444444444,-0.06
